replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,ccmar,0.2558505160746848,full,0.26005089601765624,0.00959585068605677,0.241243374271961,0.27885841776335146,1
1,2500,ccmar,0.2558505160746848,cc,0.2727710100095596,0.01717704978416381,0.23910461107194703,0.3064374089471722,1
1,2500,ccmar,0.2558505160746848,cc_ccproj,0.27277101000955944,0.017177049784163827,0.23910461107194683,0.3064374089471721,1
1,2500,ccmar,0.2558505160746848,seq,0.26818955028734287,0.017216657472158992,0.23444552170774885,0.3019335788669369,1
2,2500,ccmar,0.2558505160746848,full,0.2663429902973614,0.012369349972120585,0.24209950983983355,0.2905864707548893,1
2,2500,ccmar,0.2558505160746848,cc,0.25798055267371695,0.016391320661103433,0.22585415451890695,0.29010695082852694,1
2,2500,ccmar,0.2558505160746848,cc_ccproj,0.25798055267371695,0.016391320661103433,0.22585415451890695,0.29010695082852694,1
2,2500,ccmar,0.2558505160746848,seq,0.2519450600216103,0.01598378729223473,0.22061741259228126,0.28327270745093935,1
3,2500,ccmar,0.2558505160746848,full,0.24639561363938947,0.010974507384997764,0.224885974416725,0.2679052528620539,1
3,2500,ccmar,0.2558505160746848,cc,0.23740755740837058,0.020499430053242014,0.19722941280041822,0.27758570201632293,1
3,2500,ccmar,0.2558505160746848,cc_ccproj,0.23740755740837058,0.020499430053241993,0.19722941280041828,0.2775857020163229,1
3,2500,ccmar,0.2558505160746848,seq,0.23810070833216695,0.02001145990428367,0.1988789676417036,0.2773224490226303,1
4,2500,ccmar,0.2558505160746848,full,0.2613206043023297,0.00947464344798731,0.24275064437791616,0.2798905642267432,1
4,2500,ccmar,0.2558505160746848,cc,0.27484584897585274,0.016086700528597807,0.24331649530971958,0.30637520264198587,1
4,2500,ccmar,0.2558505160746848,cc_ccproj,0.2748458489758526,0.016086700528597814,0.24331649530971947,0.3063752026419858,1
4,2500,ccmar,0.2558505160746848,seq,0.2828456782667225,0.015606402964883215,0.2522576905273323,0.3134336660061127,1
5,2500,ccmar,0.2558505160746848,full,0.26012351707686987,0.009668735826596182,0.24117314308070925,0.2790738910730305,1
5,2500,ccmar,0.2558505160746848,cc,0.26855125529879376,0.016125301594200975,0.23694624493431354,0.30015626566327397,1
5,2500,ccmar,0.2558505160746848,cc_ccproj,0.2685512552987936,0.01612530159420096,0.23694624493431338,0.3001562656632738,1
5,2500,ccmar,0.2558505160746848,seq,0.2631025074958914,0.015613552815974527,0.2325005063058674,0.29370450868591547,1
6,2500,ccmar,0.2558505160746848,full,0.2279515600461915,0.012579103878613482,0.20329696948632098,0.252606150606062,0
6,2500,ccmar,0.2558505160746848,cc,0.26295611540506075,0.015144015013687912,0.2332743913968986,0.2926378394132229,1
6,2500,ccmar,0.2558505160746848,cc_ccproj,0.2629561154050607,0.015144015013687924,0.2332743913968985,0.29263783941322286,1
6,2500,ccmar,0.2558505160746848,seq,0.2583798951725846,0.014961909321583542,0.22905509176232672,0.2877046985828424,1
7,2500,ccmar,0.2558505160746848,full,0.25507089420370205,0.010915153352494518,0.23367758674708117,0.27646420166032293,1
7,2500,ccmar,0.2558505160746848,cc,0.2420544899798576,0.013229397223427149,0.2161253478847662,0.267983632074949,1
7,2500,ccmar,0.2558505160746848,cc_ccproj,0.24205448997985773,0.013229397223427152,0.21612534788476634,0.26798363207494913,1
7,2500,ccmar,0.2558505160746848,seq,0.24821959653329645,0.012754805806807738,0.22322063652215093,0.27321855654444194,1
8,2500,ccmar,0.2558505160746848,full,0.266977910736844,0.009866769918643166,0.24763939705256022,0.2863164244211278,1
8,2500,ccmar,0.2558505160746848,cc,0.2786908938287032,0.015580264711351237,0.24815413612485446,0.309227651532552,1
8,2500,ccmar,0.2558505160746848,cc_ccproj,0.27869089382870305,0.01558026471135124,0.24815413612485426,0.30922765153255183,1
8,2500,ccmar,0.2558505160746848,seq,0.27562619689031065,0.015326859285379843,0.24558610469485284,0.30566628908576843,1
9,2500,ccmar,0.2558505160746848,full,0.274323318667064,0.009131419230652268,0.2564260658472491,0.2922205714868789,0
9,2500,ccmar,0.2558505160746848,cc,0.28224022689365574,0.017505840160943423,0.24792941065909177,0.3165510431282197,1
