replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,seqmar,0.2558505160746848,full,0.26672376658333624,0.009210712104714577,0.24867110258612857,0.2847764305805439,1
1,2500,5,stress,seqmar,0.2558505160746848,cc,0.2304474742212369,0.02194876966316923,0.18742867617645986,0.27346627226601394,1
1,2500,5,stress,seqmar,0.2558505160746848,seq,0.26758022592942166,0.024866872025095674,0.21884205235206755,0.31631839950677576,1
2,2500,5,stress,seqmar,0.2558505160746848,full,0.24456216430730515,0.009776116740405677,0.2254013275874509,0.2637230010271594,1
2,2500,5,stress,seqmar,0.2558505160746848,cc,0.2220350062390589,0.02663723797733337,0.16982697915586292,0.27424303332225486,1
2,2500,5,stress,seqmar,0.2558505160746848,seq,0.2943250568666155,0.04203921574176078,0.21192970807445505,0.3767204056587759,1
3,2500,5,stress,seqmar,0.2558505160746848,full,0.2818232093286297,0.01441805861526109,0.2535643337157305,0.3100820849415289,1
3,2500,5,stress,seqmar,0.2558505160746848,cc,0.29456748151715173,0.04863729676951725,0.1992401315435116,0.38989483149079185,1
3,2500,5,stress,seqmar,0.2558505160746848,seq,0.28985412763002516,0.025512757355957524,0.23985004206603908,0.3398582131940112,1
4,2500,5,stress,seqmar,0.2558505160746848,full,0.2623231571167428,0.008746490900550373,0.24518034996055676,0.27946596427292886,1
4,2500,5,stress,seqmar,0.2558505160746848,cc,0.20474265679127687,0.019988201915084623,0.16556650092199648,0.24391881266055726,0
4,2500,5,stress,seqmar,0.2558505160746848,seq,0.25655053805363404,0.022996594666447132,0.21147804074033177,0.3016230353669363,1
5,2500,5,stress,seqmar,0.2558505160746848,full,0.22772514504203364,0.011126423251886815,0.20591775619158645,0.24953253389248084,0
5,2500,5,stress,seqmar,0.2558505160746848,cc,0.19562665862682949,0.02140452095697923,0.1536745684448174,0.23757874880884158,0
5,2500,5,stress,seqmar,0.2558505160746848,seq,0.28027932616627105,0.042522280896589944,0.1969371870684592,0.3636214652640829,1
6,2500,5,stress,seqmar,0.2558505160746848,full,0.25902342131410416,0.008849010441179563,0.24167967955057332,0.276367163077635,1
6,2500,5,stress,seqmar,0.2558505160746848,cc,0.20717464456034732,0.014149528961431986,0.17944207739773418,0.23490721172296045,0
6,2500,5,stress,seqmar,0.2558505160746848,seq,0.24211365393691453,0.020643307526975394,0.20165351466225814,0.2825737932115709,1
7,2500,5,stress,seqmar,0.2558505160746848,full,0.2527405726257606,0.010288919205969077,0.23257466154221876,0.2729064837093024,1
7,2500,5,stress,seqmar,0.2558505160746848,cc,0.23720762613532814,0.022508076739890134,0.19309260636387976,0.2813226459067765,1
7,2500,5,stress,seqmar,0.2558505160746848,seq,0.2983019121545984,0.04160606206893538,0.21675552896094702,0.37984829534824976,1
8,2500,5,stress,seqmar,0.2558505160746848,full,0.23599651090258886,0.008827263979613042,0.21869539142051958,0.25329763038465813,0
8,2500,5,stress,seqmar,0.2558505160746848,cc,0.18748192161993693,0.014613310405187279,0.15884035953086545,0.2161234837090084,0
8,2500,5,stress,seqmar,0.2558505160746848,seq,0.2263671827563841,0.016689373076918302,0.1936566126010718,0.2590777529116964,1
9,2500,5,stress,seqmar,0.2558505160746848,full,0.2572803619913653,0.009428511458541152,0.23880081910480142,0.2757599048779292,1
9,2500,5,stress,seqmar,0.2558505160746848,cc,0.22609434936883832,0.03463049816168513,0.1582198202052549,0.2939688785324217,1
9,2500,5,stress,seqmar,0.2558505160746848,seq,0.255509978338954,0.027661525774033295,0.2012943840644223,0.3097255726134857,1
10,2500,5,stress,seqmar,0.2558505160746848,full,0.24184988143417457,0.00905438547326671,0.22410361200442916,0.25959615086391996,1
10,2500,5,stress,seqmar,0.2558505160746848,cc,0.21218639774133136,0.01873196542826056,0.17547242014229125,0.24890037534037146,0
10,2500,5,stress,seqmar,0.2558505160746848,seq,0.23713763289180087,0.022480471522830017,0.19307671835157575,0.281198547432026,1
11,2500,5,stress,seqmar,0.2558505160746848,full,0.2727394229072133,0.009893443022767026,0.25334863089949083,0.2921302149149358,1
11,2500,5,stress,seqmar,0.2558505160746848,cc,0.24750895704950363,0.039818676414607776,0.16946578536481788,0.32555212873418937,1
11,2500,5,stress,seqmar,0.2558505160746848,seq,0.26795511751096607,0.02804192435366516,0.21299395572058571,0.3229162793013464,1
12,2500,5,stress,seqmar,0.2558505160746848,full,0.25104225401320346,0.00866288299524382,0.2340633153402411,0.2680211926861658,1
12,2500,5,stress,seqmar,0.2558505160746848,cc,0.2087915920025794,0.015981900026101743,0.17746764354690026,0.24011554045825856,0
12,2500,5,stress,seqmar,0.2558505160746848,seq,0.25948777315377364,0.014180266633137371,0.23169496126164935,0.28728058504589793,1
13,2500,5,stress,seqmar,0.2558505160746848,full,0.26459301729751816,0.008814839857875763,0.2473162486465935,0.2818697859484428,1
13,2500,5,stress,seqmar,0.2558505160746848,cc,0.21371778417237575,0.013701466599661639,0.18686340310166044,0.24057216524309105,0
13,2500,5,stress,seqmar,0.2558505160746848,seq,0.22584225470782393,0.016462299438001614,0.19357674070662678,0.2581077687090211,1
14,2500,5,stress,seqmar,0.2558505160746848,full,0.26236023385955903,0.008963963973791728,0.2447911873122127,0.27992928040690535,1
14,2500,5,stress,seqmar,0.2558505160746848,cc,0.20587998155381182,0.017544278213860884,0.17149382811989378,0.24026613498772986,0
14,2500,5,stress,seqmar,0.2558505160746848,seq,0.24854408324101868,0.024835799339469496,0.1998668110083948,0.29722135547364253,1
15,2500,5,stress,seqmar,0.2558505160746848,full,0.22108283147237306,0.008415015713567162,0.2045897037444428,0.23757595920030333,0
15,2500,5,stress,seqmar,0.2558505160746848,cc,0.1609821706243383,0.019545568992721432,0.12267355934126148,0.19929078190741514,0
15,2500,5,stress,seqmar,0.2558505160746848,seq,0.21499397127200165,0.01815177724774236,0.17941714161103303,0.25057080093297024,0
16,2500,5,stress,seqmar,0.2558505160746848,full,0.2710694030655567,0.00886137143801477,0.25370143419341584,0.2884373719376976,1
16,2500,5,stress,seqmar,0.2558505160746848,cc,0.25999990013150365,0.014571727352713237,0.23143983932764853,0.2885599609353588,1
16,2500,5,stress,seqmar,0.2558505160746848,seq,0.30160635179627415,0.017679080582075447,0.26695599057562486,0.33625671301692345,0
17,2500,5,stress,seqmar,0.2558505160746848,full,0.24328861505422156,0.009700952834620835,0.22427509688264297,0.26230213322580015,1
17,2500,5,stress,seqmar,0.2558505160746848,cc,0.2051823774681954,0.020407356169962504,0.16518469435538763,0.24518006058100317,0
17,2500,5,stress,seqmar,0.2558505160746848,seq,0.14624594585352482,0.0872044940017077,-0.024671721679861425,0.31716361338691107,1
18,2500,5,stress,seqmar,0.2558505160746848,full,0.27173738763593364,0.009646568517976618,0.25283046076630156,0.2906443145055657,1
18,2500,5,stress,seqmar,0.2558505160746848,cc,0.23287686431089624,0.019503755679917138,0.19465020561499013,0.27110352300680235,1
18,2500,5,stress,seqmar,0.2558505160746848,seq,0.21087834774001926,0.049250056525889284,0.1143500107127144,0.30740668476732413,1
19,2500,5,stress,seqmar,0.2558505160746848,full,0.26110618607411623,0.009550427071198209,0.24238769297759138,0.2798246791706411,1
19,2500,5,stress,seqmar,0.2558505160746848,cc,0.2041538494441628,0.028275645884541276,0.1487346018708537,0.2595730970174719,1
19,2500,5,stress,seqmar,0.2558505160746848,seq,0.23033326189848013,0.026404787718720357,0.1785808289503627,0.28208569484659757,1
20,2500,5,stress,seqmar,0.2558505160746848,full,0.2862166020509908,0.009335567674482716,0.26791922563376835,0.30451397846821326,0
20,2500,5,stress,seqmar,0.2558505160746848,cc,0.28518585883553105,0.019123421587727826,0.24770464126240874,0.3226670764086534,1
20,2500,5,stress,seqmar,0.2558505160746848,seq,0.30003181078105745,0.01500296787551179,0.2706265340838429,0.329437087478272,0
21,2500,5,stress,seqmar,0.2558505160746848,full,0.25776147007038436,0.00870324278242806,0.2407034276681172,0.2748195124726515,1
21,2500,5,stress,seqmar,0.2558505160746848,cc,0.21928118172461494,0.019424147839867276,0.1812105515280936,0.2573518119211363,1
21,2500,5,stress,seqmar,0.2558505160746848,seq,0.2560045915945345,0.017081561393077812,0.22252534646439215,0.2894838367246768,1
22,2500,5,stress,seqmar,0.2558505160746848,full,0.26961663534487873,0.009108941963241097,0.2517634371596606,0.28746983353009686,1
22,2500,5,stress,seqmar,0.2558505160746848,cc,0.2693646646458018,0.019399898819515912,0.23134156165582948,0.3073877676357741,1
22,2500,5,stress,seqmar,0.2558505160746848,seq,0.27410485519758443,0.031445017458848874,0.2124737534850074,0.33573595691016145,1
23,2500,5,stress,seqmar,0.2558505160746848,full,0.2641832902999753,0.009151469729930577,0.24624673922370285,0.2821198413762477,1
23,2500,5,stress,seqmar,0.2558505160746848,cc,0.24918392855945345,0.019089587420170348,0.2117690247361907,0.2865988323827162,1
