replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,ccmar,0.2558505160746848,full,0.26063405700871894,0.008810816862664089,0.24336517328351914,0.27790294073391875,1
1,2500,ccmar,0.2558505160746848,cc,0.25656334243185885,0.014236629244025627,0.22866006185231894,0.2844666230113988,1
1,2500,ccmar,0.2558505160746848,cc_ccproj,0.2565633424318586,0.014236629244025628,0.22866006185231866,0.2844666230113985,1
1,2500,ccmar,0.2558505160746848,seq,0.24557389936444396,0.01348183963563803,0.2191499792332488,0.2719978194956391,1
2,2500,ccmar,0.2558505160746848,full,0.2606223280004021,0.009798692178495048,0.24141724423495747,0.2798274117658467,1
2,2500,ccmar,0.2558505160746848,cc,0.26512671659650017,0.020812433801284648,0.22433509591535822,0.3059183372776421,1
2,2500,ccmar,0.2558505160746848,cc_ccproj,0.26512671659649983,0.020812433801284703,0.22433509591535777,0.3059183372776419,1
2,2500,ccmar,0.2558505160746848,seq,0.2616777278924848,0.02059916700804368,0.22130410244519347,0.30205135333977606,1
3,2500,ccmar,0.2558505160746848,full,0.23822698073688534,0.010557715747211045,0.2175342381133403,0.25891972336043034,1
3,2500,ccmar,0.2558505160746848,cc,0.24084172409868065,0.013948885311371341,0.21350241126391306,0.26818103693344825,1
3,2500,ccmar,0.2558505160746848,cc_ccproj,0.24084172409868043,0.013948885311371378,0.21350241126391276,0.26818103693344814,1
3,2500,ccmar,0.2558505160746848,seq,0.2390801818017545,0.014193944241268292,0.21126056229029894,0.26689980131321006,1
4,2500,ccmar,0.2558505160746848,full,0.27272492798877374,0.00941789285735403,0.25426619717810284,0.29118365879944463,1
4,2500,ccmar,0.2558505160746848,cc,0.2713114902041545,0.015829638435950248,0.2402859689814011,0.30233701142690794,1
4,2500,ccmar,0.2558505160746848,cc_ccproj,0.2713114902041547,0.01582963843595027,0.2402859689814012,0.30233701142690816,1
4,2500,ccmar,0.2558505160746848,seq,0.2735193518552308,0.014908327604432581,0.24429956668081865,0.30273913702964295,1
5,2500,ccmar,0.2558505160746848,full,0.257740197951563,0.009632362607444852,0.23886111415494077,0.27661928174818523,1
5,2500,ccmar,0.2558505160746848,cc,0.25597156039196706,0.0161367382191864,0.22434413465441072,0.2875989861295234,1
5,2500,ccmar,0.2558505160746848,cc_ccproj,0.2559715603919671,0.016136738219186413,0.22434413465441072,0.2875989861295235,1
5,2500,ccmar,0.2558505160746848,seq,0.2529222931018445,0.016027532818527902,0.22150890601649606,0.2843356801871929,1
6,2500,ccmar,0.2558505160746848,full,0.26570818925058337,0.011224969223520558,0.24370765384491255,0.2877087246562542,1
6,2500,ccmar,0.2558505160746848,cc,0.24160032292096192,0.017999551259584592,0.20632185071429354,0.2768787951276303,1
6,2500,ccmar,0.2558505160746848,cc_ccproj,0.24160032292096184,0.017999551259584568,0.20632185071429351,0.27687879512763014,1
6,2500,ccmar,0.2558505160746848,seq,0.24856973507029625,0.016336294287909416,0.21655118662514639,0.2805882835154461,1
7,2500,ccmar,0.2558505160746848,full,0.24145661824860054,0.009232953054493138,0.2233603627908449,0.25955287370635616,1
