replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,5000,5,bounded,ccmar,0.15,full,0.15283331537391767,0.004641735195587947,0.1437356815647933,0.16193094918304204,1
1,5000,5,bounded,ccmar,0.15,cc,0.1462358049220144,0.00630991843483721,0.13386859204434812,0.1586030177996807,1
1,5000,5,bounded,ccmar,0.15,seq,0.149408970270283,0.005758768942663054,0.1381219905473756,0.1606959499931904,1
2,5000,5,bounded,ccmar,0.15,full,0.14510012352344256,0.0046697338967953425,0.13594761326833782,0.1542526337785473,1
2,5000,5,bounded,ccmar,0.15,cc,0.1491948063185994,0.0060449941594338,0.1373468354793542,0.16104277715784462,1
2,5000,5,bounded,ccmar,0.15,seq,0.14904372864865387,0.005737645756493153,0.1377981496098782,0.16028930768742952,1
3,5000,5,bounded,ccmar,0.15,full,0.15714200990622532,0.004767548573655537,0.14779778640731517,0.16648623340513546,1
3,5000,5,bounded,ccmar,0.15,cc,0.1513205331206816,0.006281376706858455,0.13900926100191022,0.163631805239453,1
3,5000,5,bounded,ccmar,0.15,seq,0.15587923960878305,0.005802249981615062,0.14450703861551933,0.16725144060204677,1
4,5000,5,bounded,ccmar,0.15,full,0.14827702049646727,0.004749820888897106,0.13896754262121291,0.15758649837172162,1
4,5000,5,bounded,ccmar,0.15,cc,0.15319319061121456,0.006234254042880454,0.14097427721669564,0.16541210400573347,1
4,5000,5,bounded,ccmar,0.15,seq,0.15040148220555227,0.005782350862540881,0.13906828276899802,0.16173468164210653,1
5,5000,5,bounded,ccmar,0.15,full,0.14812261533527238,0.004563302818527299,0.13917870616040875,0.157066524510136,1
5,5000,5,bounded,ccmar,0.15,cc,0.15010866144485327,0.0057016349359843696,0.13893366231732857,0.16128366057237797,1
5,5000,5,bounded,ccmar,0.15,seq,0.14517850717777955,0.005330795802205713,0.13473033939651904,0.15562667495904006,1
6,5000,5,bounded,ccmar,0.15,full,0.14533634260697295,0.004755786664782805,0.1360151720258428,0.1546575131881031,1
6,5000,5,bounded,ccmar,0.15,cc,0.14174278065989132,0.006553028952458189,0.12889907992342503,0.1545864813963576,1
6,5000,5,bounded,ccmar,0.15,seq,0.1517434229952645,0.005991595663652287,0.14000011128457965,0.16348673470594935,1
7,5000,5,bounded,ccmar,0.15,full,0.15304594148278833,0.0046897941360060594,0.1438541138813093,0.16223776908426735,1
7,5000,5,bounded,ccmar,0.15,cc,0.1510657718249914,0.006223689124040768,0.13886756529089786,0.16326397835908493,1
7,5000,5,bounded,ccmar,0.15,seq,0.15415232416013327,0.005798699767997046,0.1427870814576983,0.16551756686256824,1
8,5000,5,bounded,ccmar,0.15,full,0.14539252234130418,0.004750835757334029,0.13608105536046441,0.15470398932214394,1
8,5000,5,bounded,ccmar,0.15,cc,0.1454616698064527,0.00619529996431502,0.13331910500297298,0.15760423460993242,1
8,5000,5,bounded,ccmar,0.15,seq,0.14413237042801744,0.005726617924252011,0.13290840554326197,0.1553563353127729,1
9,5000,5,bounded,ccmar,0.15,full,0.1486503953781428,0.004644787444396563,0.1395467792712817,0.15775401148500393,1
9,5000,5,bounded,ccmar,0.15,cc,0.14558334268746506,0.0064863904365567255,0.13287025104214883,0.1582964343327813,1
9,5000,5,bounded,ccmar,0.15,seq,0.1482779424460526,0.005991193894053049,0.13653541818931236,0.16002046670279285,1
10,5000,5,bounded,ccmar,0.15,full,0.15011143868582547,0.004612169594148941,0.14107175239070283,0.1591511249809481,1
10,5000,5,bounded,ccmar,0.15,cc,0.15208694400387363,0.006158787467887979,0.14001594237837656,0.1641579456293707,1
10,5000,5,bounded,ccmar,0.15,seq,0.15114889986095773,0.005689371875848655,0.13999793588963927,0.16229986383227618,1
11,5000,5,bounded,ccmar,0.15,full,0.1550040442364164,0.004572064015398525,0.1460429634312237,0.1639651250416091,1
11,5000,5,bounded,ccmar,0.15,cc,0.1525149332516859,0.005963705342004026,0.1408262855669489,0.16420358093642293,1
11,5000,5,bounded,ccmar,0.15,seq,0.15249509048520765,0.005560645675364805,0.14159642523070423,0.16339375573971107,1
12,5000,5,bounded,ccmar,0.15,full,0.1504115791526369,0.004620082912800518,0.14135638303795897,0.15946677526731481,1
12,5000,5,bounded,ccmar,0.15,cc,0.14944934546947095,0.006101367322958136,0.13749088526002343,0.16140780567891846,1
12,5000,5,bounded,ccmar,0.15,seq,0.1496423397526638,0.005526028445870679,0.13881152302121344,0.16047315648411417,1
13,5000,5,bounded,ccmar,0.15,full,0.15216520424836935,0.00458955677149687,0.14316983827123356,0.16116057022550515,1
13,5000,5,bounded,ccmar,0.15,cc,0.14695683922996652,0.005922259494221116,0.13534942391419275,0.1585642545457403,1
13,5000,5,bounded,ccmar,0.15,seq,0.14848610665856157,0.005484266485878842,0.137737141864619,0.15923507145250415,1
14,5000,5,bounded,ccmar,0.15,full,0.14990089366784337,0.004675192581514989,0.14073768458728514,0.1590641027484016,1
14,5000,5,bounded,ccmar,0.15,cc,0.14856574819540866,0.006001586406596725,0.1368028549883739,0.1603286414024434,1
14,5000,5,bounded,ccmar,0.15,seq,0.14671003257721082,0.005527634234878816,0.13587606855713774,0.1575439965972839,1
15,5000,5,bounded,ccmar,0.15,full,0.1511360918101453,0.0046457173215495836,0.14203065317755426,0.16024153044273637,1
15,5000,5,bounded,ccmar,0.15,cc,0.14746282401182673,0.006176161749045113,0.1353577694210044,0.15956787860264907,1
15,5000,5,bounded,ccmar,0.15,seq,0.14956481978584116,0.005808560276497992,0.13818025084187507,0.16094938872980724,1
16,5000,5,bounded,ccmar,0.15,full,0.15447893041023575,0.0046370124255565096,0.14539055306028026,0.16356730776019124,1
16,5000,5,bounded,ccmar,0.15,cc,0.15780106442036662,0.006010932811636158,0.14601985259606967,0.16958227624466357,1
