replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,5000,5,bounded,seqmar,0.15,full,0.1503073668995295,0.004661517595097477,0.1411709602998387,0.15944377349922031,1
1,5000,5,bounded,seqmar,0.15,cc,0.15428008686640204,0.005801568187273076,0.14290922216549348,0.1656509515673106,1
1,5000,5,bounded,seqmar,0.15,seq,0.14309206288777604,0.006424285907108718,0.13050069388345473,0.15568343189209735,1
2,5000,5,bounded,seqmar,0.15,full,0.14844427045960484,0.004653644820725955,0.1393232942141406,0.15756524670506908,1
2,5000,5,bounded,seqmar,0.15,cc,0.1483224677736091,0.005513490451092848,0.13751622506036162,0.1591287104868566,1
2,5000,5,bounded,seqmar,0.15,seq,0.14267021343365982,0.006616951469245313,0.1297012268664896,0.15563920000083004,1
3,5000,5,bounded,seqmar,0.15,full,0.14508011029580933,0.004627495790725086,0.13601038520737746,0.1541498353842412,1
3,5000,5,bounded,seqmar,0.15,cc,0.14777886254840294,0.00540388497408546,0.13718744262259827,0.15837028247420762,1
3,5000,5,bounded,seqmar,0.15,seq,0.14465666218891382,0.005764335008617724,0.13335877317719969,0.15595455120062796,1
4,5000,5,bounded,seqmar,0.15,full,0.14722532615798067,0.004735004510351573,0.13794488785105688,0.15650576446490447,1
4,5000,5,bounded,seqmar,0.15,cc,0.1472065568218108,0.005714452109836071,0.13600643649515318,0.15840667714846843,1
4,5000,5,bounded,seqmar,0.15,seq,0.14781834009414974,0.005926082245219835,0.1362034323240966,0.15943324786420288,1
5,5000,5,bounded,seqmar,0.15,full,0.1480312552413764,0.0046938468169162376,0.1388314845312726,0.1572310259514802,1
5,5000,5,bounded,seqmar,0.15,cc,0.14885110494215834,0.0057072608984041085,0.13766507913091258,0.1600371307534041,1
5,5000,5,bounded,seqmar,0.15,seq,0.14731056685566232,0.00615630870214208,0.1352444235217533,0.15937671018957134,1
6,5000,5,bounded,seqmar,0.15,full,0.1548404147877565,0.00470852969103441,0.14561186617319155,0.16406896340232147,1
6,5000,5,bounded,seqmar,0.15,cc,0.16207503813269455,0.005793824921022614,0.1507193499547596,0.1734307263106295,0
6,5000,5,bounded,seqmar,0.15,seq,0.16073924721955773,0.006092928944571284,0.14879732592783637,0.1726811685112791,1
7,5000,5,bounded,seqmar,0.15,full,0.14649096310059953,0.004714701355255382,0.1372503182464368,0.15573160795476226,1
7,5000,5,bounded,seqmar,0.15,cc,0.15173694927302564,0.005657018217542792,0.1406493973067548,0.16282450123929648,1
7,5000,5,bounded,seqmar,0.15,seq,0.14425790476626352,0.006402428995342241,0.13170937452181777,0.15680643501070926,1
8,5000,5,bounded,seqmar,0.15,full,0.14782470370309894,0.004684163914869256,0.13864391113227306,0.15700549627392482,1
8,5000,5,bounded,seqmar,0.15,cc,0.1507145079513982,0.005938535346713716,0.13907519255092124,0.16235382335187518,1
8,5000,5,bounded,seqmar,0.15,seq,0.14325462442604053,0.006487593276125962,0.13053917525848943,0.15597007359359163,1
9,5000,5,bounded,seqmar,0.15,full,0.16052249737098512,0.004669924253774776,0.15136961402305646,0.16967538071891378,0
9,5000,5,bounded,seqmar,0.15,cc,0.1644657227356745,0.005414836090033804,0.15385283901702057,0.17507860645432843,0
9,5000,5,bounded,seqmar,0.15,seq,0.16150338018640292,0.005670999705600751,0.1503884250070882,0.17261833536571763,0
10,5000,5,bounded,seqmar,0.15,full,0.15070220914167845,0.004671980829266855,0.14154529497985385,0.15985912330350305,1
10,5000,5,bounded,seqmar,0.15,cc,0.1470621402791275,0.005941889299151866,0.1354162512526659,0.1587080293055891,1
10,5000,5,bounded,seqmar,0.15,seq,0.1455871925125398,0.007238056309645724,0.13140086282756128,0.1597735221975183,1
11,5000,5,bounded,seqmar,0.15,full,0.16012232895231351,0.004662657202221004,0.15098368876370405,0.16926096914092298,0
11,5000,5,bounded,seqmar,0.15,cc,0.16114973656536824,0.005745792948597115,0.14988818932349368,0.1724112838072428,1
11,5000,5,bounded,seqmar,0.15,seq,0.15926691785681554,0.006000666689061527,0.14750582726302575,0.17102800845060534,1
12,5000,5,bounded,seqmar,0.15,full,0.1456190935456516,0.004656830293676471,0.13649187388793066,0.15474631320337257,1
12,5000,5,bounded,seqmar,0.15,cc,0.14862625144627747,0.005495142654827097,0.13785596975290654,0.1593965331396484,1
12,5000,5,bounded,seqmar,0.15,seq,0.14580551716259255,0.005925393943613915,0.1341919584388975,0.1574190758862876,1
13,5000,5,bounded,seqmar,0.15,full,0.14957685420479944,0.0046944346350856845,0.14037593139225407,0.1587777770173448,1
13,5000,5,bounded,seqmar,0.15,cc,0.15505017551969144,0.005757249055058105,0.1437661747217503,0.1663341763176326,1
13,5000,5,bounded,seqmar,0.15,seq,0.1477180462701001,0.006454604587960474,0.13506725374325057,0.16036883879694963,1
14,5000,5,bounded,seqmar,0.15,full,0.15531635234700117,0.004605801097446089,0.14628914807605178,0.16434355661795055,1
14,5000,5,bounded,seqmar,0.15,cc,0.15375252350068003,0.005640286811578678,0.14269776448750957,0.1648072825138505,1
14,5000,5,bounded,seqmar,0.15,seq,0.14880754412485808,0.005939823000205546,0.13716570496991257,0.1604493832798036,1
15,5000,5,bounded,seqmar,0.15,full,0.14545031457999558,0.004732799497643158,0.13617419801856573,0.15472643114142542,1
15,5000,5,bounded,seqmar,0.15,cc,0.15170880462783928,0.0057520191951885725,0.14043505416688662,0.16298255508879195,1
15,5000,5,bounded,seqmar,0.15,seq,0.14562411597142608,0.006524765528217045,0.1328358105285522,0.15841242141429995,1
16,5000,5,bounded,seqmar,0.15,full,0.15339004648238935,0.004595784921714403,0.1443824735551369,0.1623976194096418,1
16,5000,5,bounded,seqmar,0.15,cc,0.16155679560084107,0.005374951325269769,0.1510220845846565,0.17209150661702566,0
16,5000,5,bounded,seqmar,0.15,seq,0.15703877871007144,0.005783955657602012,0.1457024339329948,0.16837512348714806,1
17,5000,5,bounded,seqmar,0.15,full,0.1439928030370567,0.004675970216693174,0.1348280698195561,0.15315753625455727,1
17,5000,5,bounded,seqmar,0.15,cc,0.14367150446217264,0.006185335039169226,0.1315484705530873,0.15579453837125798,1
17,5000,5,bounded,seqmar,0.15,seq,0.1378795481482708,0.007695906460355562,0.12279584865758478,0.15296324763895683,1
