replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,seqmar,0.2558505160746848,full,0.27162728399211356,0.012232777253206683,0.24765148114492763,0.2956030868392995,1
1,2500,seqmar,0.2558505160746848,cc,0.22589521859526884,0.0206649987283799,0.18539256534707824,0.2663978718434595,1
1,2500,seqmar,0.2558505160746848,cc_ccproj,0.22570469004244778,0.020587854947502194,0.18535323582640872,0.26605614425848684,1
1,2500,seqmar,0.2558505160746848,seq,0.25334966602351505,0.01726565485396261,0.21950960434024916,0.2871897277067809,1
2,2500,seqmar,0.2558505160746848,full,0.2619437858534694,0.009772849829900017,0.24278935216054698,0.2810982195463918,1
2,2500,seqmar,0.2558505160746848,cc,0.25516625566894224,0.015154738676537853,0.22546351366781184,0.2848689976700726,1
2,2500,seqmar,0.2558505160746848,cc_ccproj,0.25502822449562434,0.015183116377330622,0.22526986322297607,0.28478658576827265,1
2,2500,seqmar,0.2558505160746848,seq,0.2650451221989365,0.013724471708384634,0.23814565194366372,0.2919445924542093,1
3,2500,seqmar,0.2558505160746848,full,0.24989211720679186,0.016268610476594676,0.2180062265941553,0.2817780078194284,1
3,2500,seqmar,0.2558505160746848,cc,0.1979431399105719,0.05595025702466271,0.08828265121647383,0.30760362860467,1
3,2500,seqmar,0.2558505160746848,cc_ccproj,0.19724852561232378,0.055858299609301165,0.08776827014044572,0.3067287810842019,1
3,2500,seqmar,0.2558505160746848,seq,0.22265826789269377,0.04421234920707234,0.13600365577492396,0.3093128800104636,1
4,2500,seqmar,0.2558505160746848,full,0.2768461932376752,0.012287073591793585,0.25276397152236657,0.3009284149529838,1
4,2500,seqmar,0.2558505160746848,cc,0.2394906469308505,0.014899903082836985,0.2102873735153527,0.2686939203463483,1
4,2500,seqmar,0.2558505160746848,cc_ccproj,0.23925975258821827,0.014824563519333362,0.21020414200379853,0.268315363172638,1
4,2500,seqmar,0.2558505160746848,seq,0.2523302922325437,0.013703479902431448,0.22547196516090962,0.2791886193041778,1
5,2500,seqmar,0.2558505160746848,full,0.2479087369938657,0.01003106392409546,0.22824821297601958,0.26756926101171186,1
5,2500,seqmar,0.2558505160746848,cc,0.24310685395787696,0.019435694321441283,0.2050135930733224,0.2812001148424315,1
5,2500,seqmar,0.2558505160746848,cc_ccproj,0.24246810028497895,0.019280656877758817,0.2046787072062972,0.28025749336366074,1
5,2500,seqmar,0.2558505160746848,seq,0.2587555191344356,0.015508676215158636,0.22835907230483174,0.2891519659640395,1
6,2500,seqmar,0.2558505160746848,full,0.25749666190542364,0.01301552286028534,0.23198670585930664,0.28300661795154064,1
6,2500,seqmar,0.2558505160746848,cc,0.24616396113146247,0.014740643288804558,0.2172728311764535,0.27505509108647147,1
6,2500,seqmar,0.2558505160746848,cc_ccproj,0.24735073154417242,0.014690630025659386,0.2185576257836773,0.2761438373046675,1
6,2500,seqmar,0.2558505160746848,seq,0.2604424995311925,0.013238604867192097,0.2344953107859393,0.2863896882764456,1
7,2500,seqmar,0.2558505160746848,full,0.24579946025860192,0.009293493999060647,0.2275845467299039,0.2640143737872999,1
7,2500,seqmar,0.2558505160746848,cc,0.23810031527401984,0.017357127857113335,0.20408096979902082,0.2721196607490189,1
7,2500,seqmar,0.2558505160746848,cc_ccproj,0.23842247444028888,0.017296849100946782,0.20452127315640917,0.2723236757241686,1
7,2500,seqmar,0.2558505160746848,seq,0.2604862384778544,0.017195674415100812,0.22678333593437994,0.29418914102132887,1
8,2500,seqmar,0.2558505160746848,full,0.24215645485132992,0.009378518517536875,0.22377489632861566,0.26053801337404414,1
8,2500,seqmar,0.2558505160746848,cc,0.2222294597465022,0.01815031878700525,0.1866554886160512,0.25780343087695323,1
8,2500,seqmar,0.2558505160746848,cc_ccproj,0.22236088538370555,0.018076771034560544,0.18693106519919003,0.2577907055682211,1
8,2500,seqmar,0.2558505160746848,seq,0.23668428478750253,0.01699690442757506,0.20337096426078605,0.269997605314219,1
9,2500,seqmar,0.2558505160746848,full,0.26565817170789857,0.012124282141338065,0.2418950153724738,0.2894213280433233,1
9,2500,seqmar,0.2558505160746848,cc,0.27838856586295135,0.02614256579586409,0.22715007843958904,0.32962705328631364,1
9,2500,seqmar,0.2558505160746848,cc_ccproj,0.2780526281666279,0.026148380053764894,0.22680274500718317,0.32930251132607263,1
9,2500,seqmar,0.2558505160746848,seq,0.2811524296055141,0.020930521058963536,0.24012936215228844,0.3221754970587398,1
10,2500,seqmar,0.2558505160746848,full,0.24359685222499147,0.00976075733307787,0.22446611939032363,0.2627275850596593,1
10,2500,seqmar,0.2558505160746848,cc,0.24393946548083204,0.01732882799041694,0.20997558672532524,0.27790334423633883,1
10,2500,seqmar,0.2558505160746848,cc_ccproj,0.24461522759296478,0.017371710135375983,0.21056730137775842,0.27866315380817114,1
10,2500,seqmar,0.2558505160746848,seq,0.2545928973155756,0.016510042463767118,0.22223380870336512,0.2869519859277861,1
11,2500,seqmar,0.2558505160746848,full,0.2571155165500992,0.011645862401893636,0.23429004567347853,0.27994098742671986,1
11,2500,seqmar,0.2558505160746848,cc,0.2506627011490955,0.01649767242183791,0.2183278573735535,0.28299754492463747,1
11,2500,seqmar,0.2558505160746848,cc_ccproj,0.25120907155828215,0.016578971098161473,0.2187148853051552,0.2837032578114091,1
11,2500,seqmar,0.2558505160746848,seq,0.26249178475442675,0.013639433509939907,0.2357589863054158,0.2892245832034377,1
12,2500,seqmar,0.2558505160746848,full,0.23581290728426788,0.011127541323698848,0.21400332705333697,0.2576224875151988,1
