scenario,method,replicates,mean_estimate,bias,mcse_bias,empirical_sd,rmse,root_mean_estimated_variance,coverage_95,mcse_coverage_95
CCMAR-compatible,full,100,0.50165438243957,0.0016543824395699458,0.0037746512281305426,0.037746512281305426,0.037593725257881426,0.036972682243171434,0.96,0.019595917942265433
CCMAR-compatible,coarsened,100,0.5063162309639111,0.006316230963911096,0.008966042255827325,0.08966042255827325,0.08943431239286352,0.08641102046961387,0.95,0.021794494717703377
CCMAR-compatible,sequential,100,0.5067714008308694,0.006771400830869356,0.006757243477605622,0.06757243477605622,0.06757385197960102,0.061540034623148776,0.91,0.028618176042508364
Sequential-MAR,full,100,0.49889363901349654,-0.001106360986503463,0.0035224708360395408,0.03522470836039541,0.035065600136267715,0.037114222490383854,0.96,0.019595917942265433
Sequential-MAR,coarsened,100,0.5038137021285073,0.0038137021285072903,0.007827665652790595,0.07827665652790596,0.07797760532063591,0.07980346198904399,0.94,0.023748684174075843
Sequential-MAR,sequential,100,0.4973323583655966,-0.002667641634403417,0.006766038269955604,0.06766038269955604,0.06737406344484115,0.061869116348573935,0.94,0.023748684174075843
