scenario,method,mean_estimate,bias,empirical_sd,rmse,mean_se,coverage_95,variance_ratio_ccmar_over_seq
CCMAR-compatible,Full data,0.2555550229525561,-0.00029359733023276435,0.010873198700806882,0.010874444176809895,0.010432616567379404,0.944,
CCMAR-compatible,Coarsened CCMAR,0.2553562245487977,-0.00049239573399118,0.01817261625991051,0.01817474383032541,0.01676667341167626,0.9405,
CCMAR-compatible,Sequential patterns,0.2553747147691544,-0.000473905513634465,0.01776292239995294,0.017764803345843985,0.016382137173399397,0.9455,1.0466610790094333
Sequential-MAR,Full data,0.2562738992975001,0.00042527901471123286,0.010375582306911116,0.010381702369733828,0.010380096996948132,0.955,
Sequential-MAR,Coarsened CCMAR,0.22362865995707418,-0.0322199603257147,0.01831379195427384,0.03705877927896685,0.01736876991944152,0.469,
Sequential-MAR,Sequential patterns,0.2562899901873648,0.00044136990457593894,0.015963095562229627,0.015965206453772408,0.015581248196009468,0.9545,1.3162013304822267
