scenario,method,replicates,mean_estimate,bias,mcse_bias,empirical_sd,mcse_empirical_sd,rmse,mean_standard_error,root_mean_estimated_variance,coverage_95,mcse_coverage_95
CCMAR-compatible,Full data,2000,0.2555550229525561,-0.00029359733023276435,0.00024313211427866595,0.010873198700806887,0.00017196336294660297,0.0108744441768099,0.010432616567379356,0.010621901267428386,0.944,0.005141206084179083
CCMAR-compatible,Coarsened CCMAR,2000,0.2553562245487977,-0.00049239573399118,0.000406352052861779,0.018172616259910516,0.00028740615264948906,0.018174743830325416,0.01676667341167621,0.01809647437383908,0.9405,0.005289600646551685
CCMAR-compatible,Sequential patterns,2000,0.25537471476915435,-0.0004739055136345205,0.00039719101965348487,0.017762922399952943,0.0002809267038805035,0.017764803345843988,0.016382137173399345,0.017733516102498886,0.9455,0.005075911248239078
Sequential-MAR,Full data,2000,0.2562738992975001,0.00042527901471123286,0.00023200507344397348,0.01037558230691112,0.00016409338917841205,0.010381702369733832,0.010380096996948081,0.010560710100541333,0.955,0.004635461142108735
Sequential-MAR,Coarsened CCMAR,2000,0.22362865995707412,-0.03221996032571475,0.00040950883735545033,0.018313791954273843,0.00028963889462699363,0.037058779278966884,0.01736876991944147,0.018697748828663253,0.469,0.011158830583891844
Sequential-MAR,Sequential patterns,2000,0.2562899901873648,0.00044136990457593894,0.00035694566808470687,0.015963095562229634,0.0002524618257657053,0.01596520645377241,0.01558124819600942,0.01622180368492704,0.9545,0.004659922209651143
